"champion","matchduration","kills","deaths","assists","goldearned","killingsprees","physicaldamagedealttochampions","magicdamagedealttochampions","physicaldamagetaken","magicdamagetaken","truedamagedealttochampions","truedamagetaken","wardsplaced","wardskilled","minionskilled","neutralminionskilled"
"Sejuani",2062.31801480377,4.37701688055807,5.35827253847383,12.1005910857873,11436.1881889344,1.01304648809841,2139.05846956707,11762.3471430854,22558.3507109005,10622.1377070132,516.066776718675,1255.63283454923,9.26534959263006,1.87123915011449,51.8546780978753,62.0197028595772
"Shaco",2067.8729305741,7.78938584779706,6.56168224299065,7.47409879839786,12169.3074766355,1.84652870493992,8283.51909212283,8917.95176902537,17507.1559746328,7633.10490654206,1476.30457276368,660.660947930574,7.68124165554072,1.83054072096128,67.956041388518,54.6868825100133
"Shen",2006.73674708052,3.86468577135833,4.85029963122311,12.4739935464044,10680.5699715734,0.893285187461586,3451.61666410572,9743.62736247695,17409.2593538722,9453.67272971727,184.522625998771,1446.27819606638,9.86132452366318,0.946450522433927,131.13909803319,5.32394744929318
"Shyvana",2038.77882418948,6.28090810724161,5.82276680158698,8.12922293912556,12846.8528633832,1.48062357231595,7632.8426040957,9476.65220614756,21815.5020638801,8992.70959403679,1173.45431411053,1272.71358153328,7.76870516571154,1.77579850118222,83.1721235923536,75.2476656113493
"Singed",2075.10162983858,4.37815389437392,6.57067857702554,9.09982761322677,11924.1738755681,0.988559786867262,799.331452750353,22552.8758815233,22856.9330825889,11316.5689547093,218.305438019119,1767.90260147312,8.58298072402445,0.452907067857703,202.446168312177,3.58948440683278
"Sion",2084.01088567195,4.60378433831073,6.09534936737718,10.5095178388237,11242.2341274365,1.04633534708766,12026.8387096774,5505.36407158327,20943.1893309016,11779.9682548729,294.717428473726,1555.95127094494,8.53909723013792,0.805539724153653,133.984725863445,16.2987005585319
"Sivir",2039.82064740669,6.83721456665063,5.85218301689256,9.61224922894089,12996.2225460513,1.60251549192156,21633.9728926742,915.585764409609,11827.6874593249,6944.22823349651,266.200135819586,611.679126227328,6.74366882657537,0.959480490082341,204.544664836875,10.0229195551909
"Skarner",2012.14701544671,4.87440813475122,5.20383451059536,10.6944810991229,11564.1177908872,1.13063727392688,7438.28351315687,3840.96840797951,19510.3131258247,8442.90378793759,1172.76977412093,1039.30388884577,7.40697042614298,1.95548397112474,41.9779554451603,70.1432507956221
"Sona",2022.11025237854,2.87210510886656,6.15462516323322,14.8445220264904,9688.63603656424,0.599019268182182,2370.92351357834,10921.7715267969,10108.5840950883,7494.5261572902,179.454228073448,506.522426245236,21.2091250699571,2.13831516669776,21.1378354609173,0.748740772326307
"Soraka",1987.64590365143,0.861190257017198,5.24732973889157,15.2889726617864,8994.64325896053,0.108286211078479,832.526045091249,4894.95172343255,7514.22865617557,6156.34395593156,34.8171802627157,485.635441780271,21.6530925349581,2.60201054954047,15.8925320358275,0.40910884145005
